FaixaInicial	FaixaFinal	Quantidade
182880254	182890253	10000
182890254	182900253	10000
182900254	182910253	10000
182910254	182920253	10000
182920254	182930253	10000
182930254	182940253	10000
182940254	182950253	10000
182950254	182960253	10000
182960254	182970253	10000
182970254	182980253	10000
182980254	182990253	10000
182990254	183000253	10000
183000254	183010253	10000
183010254	183020253	10000
183020254	183030253	10000
183030254	183040253	10000
183040254	183050253	10000
183050254	183060253	10000
183060254	183070253	10000
183070254	183080253	10000
183080254	183090253	10000
183090254	183100253	10000
183100254	183110253	10000
183110254	183120253	10000
183120254	183130253	10000
183130254	183140253	10000
183140254	183150253	10000
183150254	183160253	10000
183160254	183170253	10000
183170254	183180253	10000
183180254	183190253	10000
183190254	183200253	10000
183200254	183210253	10000
183210254	183220253	10000
183220254	183230253	10000
183230254	183240253	10000
183240254	183250253	10000
183250254	183260253	10000
183260254	183270253	10000
183270254	183280253	10000
183280254	183290253	10000
183290254	183300253	10000
183300254	183310253	10000
183310254	183320253	10000
183320254	183330253	10000
183330254	183340253	10000
183340254	183350253	10000
183350254	183360253	10000
183360254	183370253	10000
183370254	183380253	10000
183380254	183390253	10000
183390254	183400253	10000
183400254	183410253	10000
183410254	183420253	10000
183420254	183430253	10000
183430254	183440253	10000
183440254	183450253	10000
183450254	183460253	10000
183460254	183470253	10000
183470254	183480253	10000
183480254	183490253	10000
183490254	183500253	10000
183500254	183510253	10000
183510254	183520253	10000
183520254	183530253	10000
183530254	183540253	10000
183540254	183550253	10000
183550254	183560253	10000
183560254	183570253	10000
183570254	183580253	10000
183580254	183590253	10000
183590254	183600253	10000
183600254	183610253	10000
183610254	183620253	10000
183620254	183630253	10000
183630254	183640253	10000
183640254	183650253	10000
183650254	183660253	10000
183660254	183670253	10000
183670254	183680253	10000
183680254	183690253	10000
183690254	183700253	10000
183700254	183710253	10000
183710254	183720253	10000
183720254	183730253	10000
183730254	183740253	10000
183740254	183750253	10000
183750254	183760253	10000
183760254	183770253	10000
183770254	183780253	10000
183780254	183790253	10000
183790254	183800253	10000
183800254	183810253	10000
183810254	183820253	10000
183820254	183830253	10000
183830254	183840253	10000
183840254	183850253	10000
183850254	183860253	10000
183860254	183870253	10000
183870254	183880253	10000
183880254	183890253	10000
183890254	183900253	10000
183900254	183910253	10000
183910254	183920253	10000
183920254	183930253	10000
183930254	183940253	10000
183940254	183950253	10000
183950254	183960253	10000
183960254	183970253	10000
183970254	183980253	10000
183980254	183990253	10000
183990254	184000253	10000
184000254	184010253	10000
184010254	184020253	10000
184020254	184030253	10000
184030254	184040253	10000
184040254	184050253	10000
184050254	184060253	10000
184060254	184070253	10000
184070254	184080253	10000
184080254	184090253	10000
184090254	184100253	10000
184100254	184110253	10000
184110254	184120253	10000
184120254	184130253	10000
184130254	184140253	10000
184140254	184150253	10000
184150254	184160253	10000
184160254	184170253	10000
184170254	184180253	10000
184180254	184190253	10000
184190254	184200253	10000
184200254	184210253	10000
184210254	184220253	10000
184220254	184230253	10000
184230254	184240253	10000
184240254	184250253	10000
184250254	184260253	10000
184260254	184270253	10000
184270254	184280253	10000
184280254	184290253	10000
184290254	184300253	10000
184300254	184310253	10000
184310254	184320253	10000
184320254	184330253	10000
184330254	184340253	10000
184340254	184350253	10000
184350254	184360253	10000
184360254	184370253	10000
184370254	184380253	10000
184380254	184390253	10000
184390254	184400253	10000
184400254	184410253	10000
184410254	184420253	10000
184420254	184430253	10000
184430254	184440253	10000
184440254	184450253	10000
184450254	184460253	10000
184460254	184470253	10000
184470254	184480253	10000
184480254	184490253	10000
184490254	184500253	10000
184500254	184510253	10000
184510254	184520253	10000
184520254	184530253	10000
184530254	184540253	10000
184540254	184550253	10000
184550254	184560253	10000
184560254	184570253	10000
184570254	184580253	10000
184580254	184590253	10000
184590254	184600253	10000
184600254	184610253	10000
184610254	184620253	10000
184620254	184630253	10000
184630254	184640253	10000
184640254	184650253	10000
184650254	184660253	10000
184660254	184670253	10000
184670254	184680253	10000
184680254	184690253	10000
184690254	184700253	10000
184700254	184710253	10000
184710254	184720253	10000
184720254	184730253	10000
184730254	184740253	10000
184740254	184750253	10000
184750254	184760253	10000
184760254	184770253	10000
184770254	184780253	10000
184780254	184790253	10000
184790254	184800253	10000
184800254	184810253	10000
184810254	184820253	10000
184820254	184830253	10000
184830254	184840253	10000
184840254	184850253	10000
184850254	184860253	10000
184860254	184870253	10000
184870254	184880253	10000
184880254	184890253	10000
184890254	184900253	10000
184900254	184910253	10000
184910254	184920253	10000
184920254	184930253	10000
184930254	184940253	10000
184940254	184950253	10000
184950254	184960253	10000
184960254	184970253	10000
184970254	184980253	10000
184980254	184990253	10000
184990254	185000253	10000
185000254	185010253	10000
185010254	185020253	10000
185020254	185030253	10000
185030254	185040253	10000
185040254	185050253	10000
185050254	185060253	10000
185060254	185070253	10000
185070254	185080253	10000
185080254	185090253	10000
185090254	185100253	10000
185100254	185110253	10000
185110254	185120253	10000
185120254	185130253	10000
185130254	185140253	10000
185140254	185150253	10000
185150254	185160253	10000
185160254	185170253	10000
185170254	185180253	10000
